lon,lat,pa,tipo,pred,modelo,n_modelos
-66.91666666666667,-5.08333333333333,0,background,0.07512060914091691,GLM,1
-69.91666666666667,-9.416666666666664,0,background,0.00101092346032362,GLM,1
-47.41666666666667,-2.4166666666666643,0,background,0.11324554722913524,GLM,1
-57.75,-6.7499999999999964,0,background,0.02400240962358927,GLM,1
-60.083333333333336,4.416666666666669,0,background,5.603637088473616e-6,GLM,1
-63.91666666666667,-0.5833333333333304,0,background,0.00682280822561697,GLM,1
-47.91666666666667,-3.749999999999997,0,background,0.02102144748617204,GLM,1
-66.58333333333333,-0.08333333333333037,0,background,0.04057412720495614,GLM,1
-66.91666666666667,-7.916666666666664,0,background,0.2757401106219667,GLM,1
-59.083333333333336,-2.4166666666666643,0,background,0.22357782539852727,GLM,1
-56.91666666666667,-8.249999999999996,0,background,0.00275105903839882,GLM,1
-48.583333333333336,-1.4166666666666643,0,background,0.27739953918164306,GLM,1
-67.75,-9.08333333333333,0,background,0.07555842214768024,GLM,1
-63.75,-10.08333333333333,0,background,0.11331564795792971,GLM,1
-54.083333333333336,-9.249999999999996,0,background,0.00557333215110432,GLM,1
-68.25,-6.916666666666664,0,background,0.2308253655145958,GLM,1
-71.75,-6.7499999999999964,0,background,0.0038634221441145,GLM,1
-65.25,-1.4166666666666643,0,background,0.00460736898293739,GLM,1
-66.25,-3.916666666666664,0,background,0.00552969041753487,GLM,1
-56.91666666666667,-8.416666666666664,0,background,0.00545027120897421,GLM,1
-58.41666666666667,-15.416666666666664,0,background,4.822228247928193e-6,GLM,1
-52.91666666666667,-1.7499999999999971,0,background,0.06774917428670853,GLM,1
-67.41666666666667,0.5833333333333357,0,background,1.1757828176251691e-4,GLM,1
-62.41666666666667,-4.7499999999999964,0,background,0.0023037417583021,GLM,1
-56.41666666666667,-4.08333333333333,0,background,0.14333871983913907,GLM,1
-50.25,-1.7499999999999971,0,background,0.11497732441620076,GLM,1
-56.75,1.0833333333333357,0,background,0.04583208254382448,GLM,1
-66.91666666666667,-9.58333333333333,0,background,0.24882058314080427,GLM,1
-52.583333333333336,-3.5833333333333304,0,background,0.03496471431569633,GLM,1
-63.25,-2.5833333333333304,0,background,0.00675984773586843,GLM,1
-56.25,-1.7499999999999971,0,background,0.40180857001540904,GLM,1
-66.25,-6.7499999999999964,0,background,0.07324835580792582,GLM,1
-53.91666666666667,-11.583333333333329,0,background,0.01016019470453634,GLM,1
-61.583333333333336,-6.416666666666664,0,background,0.00679665474837769,GLM,1
-57.25,-10.249999999999996,0,background,0.00146044631704386,GLM,1
-62.75,-2.0833333333333304,0,background,0.00354629192825175,GLM,1
-53.41666666666667,-7.7499999999999964,0,background,0.00212488818759683,GLM,1
-58.25,-3.916666666666664,0,background,0.13814553064703566,GLM,1
-66.58333333333333,-8.08333333333333,0,background,0.17821030486624875,GLM,1
-69.08333333333333,-0.7499999999999973,0,background,1.2413056780489308e-5,GLM,1
-60.583333333333336,1.7500000000000029,0,background,0.04019544633539086,GLM,1
-68.25,-9.249999999999996,0,background,0.1182987598539266,GLM,1
-66.41666666666667,-3.5833333333333304,0,background,0.00233547264813913,GLM,1
-68.08333333333333,-9.08333333333333,0,background,0.11716614023299592,GLM,1
-59.162667,-8.999722,1,presenca,0.04395624779840638,GAM,1
-46.799722,-3.6225,1,presenca,0.03204971591452719,GAM,1
-52.514444,-0.295278,1,presenca,0.4762889414042537,GAM,1
-62,-9.116111,1,presenca,0.25256620806474583,GAM,1
-63.94,-8.854167,1,presenca,0.19680619792907209,GAM,1
-52.380833,-1.599167,1,presenca,0.19480757607994192,GAM,1
-52.946266,1.963061,1,presenca,0.3034221408354566,GAM,1
-51.972222,0.973889,1,presenca,0.3245958743271209,GAM,1
-64.048056,-9.081667,1,presenca,0.1804351113602074,GAM,1
-59.860682,-2.442484,1,presenca,0.14902828851516697,GAM,1
-59.685556,-2.315278,1,presenca,0.1413782177838611,GAM,1
-60.535278,-3.603056,1,presenca,0.13390853627953586,GAM,1
-57.846944,-9.122222,1,presenca,0.00849082835038031,GAM,1
-51.658889,0.9675,1,presenca,0.38576220158443975,GAM,1
-56.306111,-1.655278,1,presenca,0.31704409448215337,GAM,1
-61.595136,-7.948514,1,presenca,0.1792847145878461,GAM,1
-63.591667,-8.581667,1,presenca,0.2070993726795477,GAM,1
