lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,tipo
-54.75,-7.416666666666664,69.656005859375,43.19477462768555,34.115501403808594,25.448625564575195,2245,353,10,307,1036,Background amazônico
-72.41666666666667,-6.58333333333333,80.32438659667969,47.676353454589844,30.98150062561035,25.477209091186523,2522,284,91,746,313,Background amazônico
-66.91666666666667,-3.4166666666666643,85.04247283935547,31.29958152770996,31.61225128173828,26.237998962402344,2884,326,151,627,643,Background amazônico
-61.41666666666667,-5.416666666666664,82.88117218017578,31.49457359313965,32.80175018310547,26.680625915527344,2426,311,72,484,911,Background amazônico
-61.75,-10.58333333333333,70.64165496826172,52.06685256958008,32.97875213623047,24.706790924072266,2079,359,13,265,114,Background amazônico
-70.58333333333333,-6.08333333333333,82.00603485107422,42.66801452636719,31.334749221801758,25.811582565307617,2516,308,82,629,295,Background amazônico
-63.91666666666667,-9.916666666666664,72.36480712890625,52.420047760009766,33.34825134277344,25.698583602905273,2033,321,17,480,153,Background amazônico
-65.75,-2.7499999999999964,87.63826751708984,27.129222869873047,31.88399887084961,26.551000595092773,3023,341,172,641,734,Background amazônico
-65.08333333333333,-7.916666666666664,76.41349792480469,41.12720489501953,32.81924819946289,26.099750518798828,2380,317,30,571,236,Background amazônico
-68.58333333333333,-2.2499999999999973,85.73673248291016,38.17255401611328,31.044750213623047,26.05933380126953,3404,345,227,835,852,Background amazônico
-72.08333333333333,-6.2499999999999964,81.2918930053711,46.15066909790039,31.10525131225586,25.704750061035156,2579,291,97,757,335,Background amazônico
-55.583333333333336,-4.7499999999999964,77.42168426513672,50.898414611816406,31.71000099182129,24.896541595458984,2272,355,56,400,948,Background amazônico
-52.75,2.2500000000000027,78.9933853149414,57.95231246948242,32.337501525878906,25.47599983215332,2433,351,58,212,791,Background amazônico
-60.75,-5.916666666666664,79.7068862915039,34.30967712402344,33.1822509765625,26.685041427612305,2527,339,58,530,994,Background amazônico
-63.583333333333336,-11.416666666666664,73.02928924560547,60.559410095214844,32.747501373291016,25.405792236328125,1648,265,12,389,117,Background amazônico
-53.083333333333336,-11.249999999999996,69.4866714477539,65.7115249633789,34.75175094604492,25.5714168548584,1969,339,2,505,50,Background amazônico
-65.08333333333333,-2.4166666666666643,88.8919448852539,25.0108642578125,31.81624984741211,26.528457641601563,3788,409,227,825,954,Background amazônico
-48.41666666666667,-2.9166666666666643,87.713897705078125,39.47904968261719,31.68174934387207,25.810333251953125,2193,407,50,209,1077,Background amazônico
-60.25,-14.583333333333329,68.9668197631836,131.04238891601563,32.42900085449219,25.557498931884766,1591,277,12,540,93,Background amazônico
-51.91666666666667,-6.7499999999999964,72.8221664428711,29.5793399810791,34.03350067138672,24.658416748046875,2011,316,18,325,881,Background amazônico
-60.083333333333336,-12.083333333333329,69.1875228881836,74.85612487792969,32.330501556396484,24.071666717529297,1923,324,6,432,89,Background amazônico
-64.25,-4.58333333333333,84.49652862548828,26.988372802734375,32.11249923706055,26.49737548828125,2341,295,85,501,411,Background amazônico
-44.91666666666667,-3.9166666666666643,78.1146011352539,72.3656234741211,34.333499908447266,26.70512580871582,1703,358,21,114,949,Background amazônico
-61.75,-7.2499999999999964,74.54051208496094,34.79008483886719,33.257999420166016,25.985332489013672,2397,352,31,532,262,Background amazônico
-51.41666666666667,1.2500000000000027,76.68876647949219,72.38558197021484,32.19824981689453,25.562334060668945,2381,342,40,147,916,Background amazônico
