especie_padrao,especie,lon,lat,fonte,origem,id_origem,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,celula_raster
Dinizia excelsa,Dinizia excelsa Ducke,-63,-5,Inventario_ou_base_local,Arquivo local,NA,83.37376403808594,26.73757553100586,32.41475296020508,26.704124450683594,2406,307,80,665,389,11475
Dinizia excelsa,Dinizia excelsa Ducke,-52.916667,-1.116667,Inventario_ou_base_local,Arquivo local,NA,81.69377136230469,61.066070556640625,32.26824951171875,25.820249557495117,1903,286,41,142,653,7119
Dinizia excelsa,Dinizia excelsa Ducke,-52.583333,-0.666667,Inventario_ou_base_local,Arquivo local,NA,81.31414031982422,62.38731002807617,32.42974853515625,25.808334350585938,2254,321,50,182,769,6753
Dinizia excelsa,Dinizia excelsa Ducke,-52.7,-0.783333,Inventario_ou_base_local,Arquivo local,NA,81.25950622558594,61.535404205322266,31.978500366210938,25.465499877929688,2171,310,49,171,750,6752
Dinizia excelsa,Dinizia excelsa Ducke,-54.718333,-2.436111,Inventario_ou_base_local,Arquivo local,NA,77.29105377197266,63.638057708740234,31.684249877929688,25.825416564941406,1989,361,29,140,976,8580
Dinizia excelsa,Dinizia excelsa Ducke,-58.966667,-0.116667,Inventario_ou_base_local,Arquivo local,NA,79.57200622558594,52.8272590637207,31.878999710083008,25.74795913696289,2155,341,97,307,774,5979
Dinizia excelsa,Dinizia excelsa Ducke,-63,-11,Inventario_ou_base_local,Arquivo local,NA,71.32849884033203,56.46332931518555,32.916500091552734,24.739999771118164,1729,284,10,257,117,18099
Dinizia excelsa,Dinizia excelsa Ducke,-60.05,-3.166667,Inventario_ou_base_local,Arquivo local,NA,81.79431915283203,49.14425277709961,32.04050064086914,26.337749481201172,2198,298,54,368,863,9468
Dinizia excelsa,Dinizia excelsa Ducke,-59.800556,-2.991389,Inventario_ou_base_local,Arquivo local,NA,80.688385009765625,49.45139694213867,31.88774871826172,26.183834075927734,2345,304,79,397,852,9102
Dinizia excelsa,Dinizia excelsa Ducke,-53,-4,Inventario_ou_base_local,Arquivo local,NA,79.53461456298828,46.73554992675781,31.556499481201172,24.70716667175293,1722,309,36,183,811,10431
Dinizia excelsa,Dinizia excelsa Ducke,-52.8731,-10.8339,Inventario_ou_base_local,Arquivo local,NA,69.62115478515625,56.69300079345703,34.96424865722656,25.757583618164063,2063,347,3,539,57,17975
Dinizia excelsa,Dinizia excelsa Ducke,-51.855556,1.515833,Inventario_ou_base_local,Arquivo local,NA,77.81646728515625,68.22516632080078,32.217498779296875,25.478166580200195,2446,335,54,193,872,4181
Dinizia excelsa,Dinizia excelsa Ducke,-67.81,-9.9747,Inventario_ou_base_local,Arquivo local,NA,70.40094757080078,85.01011657714844,32.122249603271484,25.757333755493164,1668,206,61,485,227,16782
Dinizia excelsa,Dinizia excelsa Ducke,-48.81,-3.483056,Inventario_ou_base_local,Arquivo local,NA,87.7900161743164,41.86274337768555,31.859498977661133,25.86170768737793,2168,401,42,209,1076,9720
Dinizia excelsa,Dinizia excelsa Ducke,-52.63,0.57,Inventario_ou_base_local,Arquivo local,NA,80.29267120361328,64.842437744140625,30.774999618530273,24.183582305908203,2413,321,60,209,844,5281
Dinizia excelsa,Dinizia excelsa Ducke,-52.08,0.39,Inventario_ou_base_local,Arquivo local,NA,79.930755615234375,65.759979248046875,31.98324966430664,25.418874740600582,2380,328,52,188,865,5468
Dinizia excelsa,Dinizia excelsa Ducke,-51.61687,-0.012935833,Inventario_ou_base_local,Arquivo local,NA,79.63191986083984,65.7543716430664,32.82099914550781,25.856250762939453,2372,337,42,176,905,6023
Dinizia excelsa,Dinizia excelsa Ducke,-51.18,2.75,Inventario_ou_base_local,Arquivo local,NA,75.32393646240234,66.43402099609375,32.5994987487793,25.80179214477539,2807,413,51,196,987,2897
