lon,lat,pa,tipo,pred_brt,pred_bin_brt
-58.41666666666667,-8.749999999999996,0,background,0.009358282164856102,0
-70.08333333333333,-10.249999999999996,0,background,0.009381602274393034,0
-64.25,-10.916666666666664,0,background,0.03050499947768669,0
-52.41666666666667,-11.749999999999996,0,background,0.023512943145075633,0
-69.75,-7.416666666666664,0,background,0.04027801061754891,0
-69.75,-8.416666666666664,0,background,0.05676452965961633,0
-63.41666666666667,-5.916666666666664,0,background,0.0463680369013815,0
-50.91666666666667,-8.749999999999996,0,background,0.010609421585726165,0
-63.75,-5.58333333333333,0,background,0.03784995937450038,0
-50.75,-10.08333333333333,0,background,0.025445980729433847,0
-67.41666666666667,-9.58333333333333,0,background,0.040170771154654145,0
-51.583333333333336,-0.4166666666666643,0,background,0.3733063870869894,1
-67.75,-7.7499999999999964,0,background,0.15066893028842313,1
-45.91666666666667,-3.2499999999999964,0,background,0.11917811362899035,1
-62.583333333333336,-1.7499999999999971,0,background,0.02401076884532695,0
-54.583333333333336,-12.749999999999996,0,background,0.016527496258833773,0
-58.91666666666667,-10.58333333333333,0,background,0.025201695395849686,0
-52.583333333333336,-3.749999999999997,0,background,0.053927775675865736,0
-60.083333333333336,0.7500000000000027,0,background,0.08743588877529532,1
-54.083333333333336,-2.7499999999999964,0,background,0.06602306871091364,0
-53.41666666666667,-4.416666666666664,0,background,0.024635432747672603,0
-66.08333333333333,-1.2499999999999971,0,background,0.025479879799073624,0
-69.91666666666667,-5.916666666666664,0,background,0.013079267766547909,0
-57.583333333333336,-9.58333333333333,0,background,0.009485891992042606,0
-51.41666666666667,-2.4166666666666643,0,background,0.31850310604872045,1
-51.083333333333336,-2.4166666666666643,0,background,0.07978455327578525,0
-49.583333333333336,-7.08333333333333,0,background,0.01936023752429618,0
-54.91666666666667,-3.2499999999999964,0,background,0.10905799891444908,1
-48.91666666666667,-4.08333333333333,0,background,0.08454105881837339,1
-45.75,-4.416666666666664,0,background,0.024750378098728907,0
-71.41666666666667,-7.916666666666664,0,background,0.015635463143076213,0
-68.08333333333333,-1.5833333333333304,0,background,0.016692714074234418,0
-47.583333333333336,-4.2499999999999964,0,background,0.011722374551554296,0
-60.75,3.750000000000002,0,background,0.11667652368107458,1
-62.75,-4.7499999999999964,0,background,0.022176134235033975,0
-59.083333333333336,-8.916666666666664,0,background,0.015355403642626459,0
-59.083333333333336,-0.5833333333333304,0,background,0.29017195788779726,1
-58.083333333333336,-4.2499999999999964,0,background,0.07907897907003134,0
-62.25,3.0833333333333357,0,background,0.034781039078541874,0
-57.25,-1.5833333333333304,0,background,0.37096017572937845,1
-66.91666666666667,-5.08333333333333,0,background,0.03816429861667833,0
-69.91666666666667,-9.416666666666664,0,background,0.013272546447816995,0
-47.41666666666667,-2.4166666666666643,0,background,0.12868399882237674,1
-57.75,-6.7499999999999964,0,background,0.019089283709103646,0
-60.083333333333336,4.416666666666669,0,background,0.024805228756889595,0
-63.91666666666667,-0.5833333333333304,0,background,0.04084028948363783,0
-47.91666666666667,-3.749999999999997,0,background,0.022991927086952867,0
-66.58333333333333,-0.08333333333333037,0,background,0.03163414949421667,0
-66.91666666666667,-7.916666666666664,0,background,0.091216539147793,1
